KW,カテゴリ,推奨特典,動画URL,資料URL,対応可否,備考
アパレル せどり 儲からない,アパレル・古着系,リユース物販全手法,,,◎,
ルイヴィトン 高く売れるバッグ,ブランド・高額商品系,ブランドバッグ完全攻略,https://youtu.be/aC4IRpsS2U7si=kVOfwBaXGuRtjkJL,,◎,
スニーカー 転売,ブランド・高額商品系,【新規作成推奨】スニーカー転売完全攻略,,,新規,スニーカー特化特典なし
エルメス 高く売れるもの,ブランド・高額商品系,ブランドバッグ完全攻略,https://youtu.be/aC4IRpsS2U7si=kVOfwBaXGuRtjkJL,,◎,
ロレックス 転売,ブランド・高額商品系,【新規作成推奨】高級時計せどり完全ガイド,,,新規,時計特化特典なし
バーキン 転売,ブランド・高額商品系,ブランドバッグ完全攻略,https://youtu.be/aC4IRpsS2U7si=kVOfwBaXGuRtjkJL,,◎,
コーチ アウトレット 転売,ブランド・高額商品系,ブランドバッグ完全攻略,https://youtu.be/aC4IRpsS2U7si=kVOfwBaXGuRtjkJL,,◎,
メルカリ ブランド品 売るコツ,ブランド・高額商品系,ブランドバッグ完全攻略,https://youtu.be/aC4IRpsS2U7si=kVOfwBaXGuRtjkJL,,◎,
ハイブランド 仕入れルート,ブランド・高額商品系,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,CVR8.05%の重要記事
ハイブランドを安く買う方法,ブランド・高額商品系,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
レディース アパレル せどり,アパレル・古着系,レディースアパレル完全攻略,https://youtu.be/09qk-xoim8c?si=rnkVUecL01S_muG2,,◎,
電脳 仕入れ アパレル,アパレル・古着系,レディースアパレル完全攻略,https://youtu.be/09qk-xoim8c?si=rnkVUecL01S_muG2,,◎,
アクセサリー せどり,アパレル・古着系,小物せどり完全攻略,https://youtu.be/XKttF85r3C4?si=U8vZz0GufXP9VAGN,,◎,
アパレル せどり 仕入れ先,アパレル・古着系,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
ヤフオク 仕入れ,仕入れ先系（電脳）,ネットオークション仕入れ完全攻略,https://www.youtube.com/watch?v=4oO44kxjLLs&t=23s,,◎,
セカスト せどり 儲からない,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
トレファク せどり,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
アウトレット せどり,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
ブックオフ せどり,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
ハードオフ せどり,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
オフハウス せどり,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
netsea 仕入れ,仕入れ先系（電脳）,ネットオークション仕入れ完全攻略,https://www.youtube.com/watch?v=4oO44kxjLLs&t=23s,,△,電脳仕入れで代用
ブランド仕入れ 個人,ブランド・高額商品系,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
セカスト せどり 違法,仕入れ先系（店舗）,古物商の取り方徹底解説,https://youtu.be/jexfEaIYa-Q?si=qg-gHLFJpIDfINi1,https://d27mnpuamwvieu.cloudfront.net/pdf/0HORJwUBqwUvrWa5XXqk1cg9XX.pdf,◎,
セカンドストリート メルカリ 転売,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,CVR2.30%
リサイクルショップ せどり,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
リサイクルショップで買ってメルカリで売る,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
ヤフオク せどり 売れるもの,ヤフオク系,利益商品100万円分公開,https://youtu.be/blZOK5EypDO?si=_mydWz_rbZNMsypO,,◎,
ヤフオク 売れるコツ,ヤフオク系,販売プラットフォーム3選,https://www.youtube.com/watch?v=rEU-s0cVr4s,,△,ヤフオク出品特化なし
ハードオフ せどり禁止,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
ハードオフ 値札 見方,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
ブックオフ せどり 禁止,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
ブランド リペア 転売,ブランド・高額商品系,【新規作成推奨】ブランドリペア転売マニュアル,,,新規,CVR25%の重要記事
ブランド リペア道具,ブランド・高額商品系,【新規作成推奨】ブランドリペア転売マニュアル,,,新規,CVR25%の重要記事
ブランドせどり 仕入れ先,ブランド・高額商品系,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
ヤフオクとメルカリ どっちが売れる,ヤフオク系,販売プラットフォーム3選,https://www.youtube.com/watch?v=rEU-s0cVr4s,,◎,
古着転売 やめとけ,アパレル・古着系,リユース物販全手法,,,◎,
古着屋 仕入れ先,アパレル・古着系,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
メルカリ 服 売れない,アパレル・古着系,レディースアパレル完全攻略,https://youtu.be/09qk-xoim8c?si=rnkVUecL01S_muG2,,◎,
メルカリ 稼ぎ方,メルカリ攻略系,メルカリ物販の始め方3ステップ,https://youtu.be/fHY-Etvf1Sg?si=ktDxT_rdSFSKCPNm,,◎,
メルカリ 写真 コツ,メルカリ攻略系,売れる写真構図ノウハウ,https://youtu.be/AgqK6USonM?si=dy8S-FUGhjN84uJA,,◎,
メルカリ タイトル コツ,メルカリ攻略系,売れるタイトルの作り方,,,◎,動画撮影予定
メルカリ 値段 設定 コツ,メルカリ攻略系,売れる価格設定方法,https://youtu.be/j53JXqKOzsJU?si=8cxrrvAvfT7knBJQ,,◎,
メルカリ 商品説明 例文,メルカリ攻略系,売れる商品説明テンプレート,,https://d27mnpuamwview.cloudfront.net/pdf/0qseoABHxXpo7dmn2ZOXwXX.pdf,◎,CVR1.89%
メルカリ リサーチ方法,メルカリ攻略系,せどりリサーチ完全攻略,https://youtu.be/4-_g142&dtaw?si=weUP-w25Zaqrmqe9t,,◎,
メルカリ 転売 バレる,メルカリ攻略系,垢BAN対策,https://youtu.be/Z35jiJqWYbI?si=vq4Z4rkbr-mKGuvU,,◎,
メルカリ せどり 売れるもの,メルカリ攻略系,利益商品100万円分公開,https://youtu.be/blZOK5EypDO?si=_mydWz_rbZNMsypO,,◎,
メルカリ プロフィール 書き方,メルカリ攻略系,売れる出品設定マニュアル,https://youtu.be/F7uSZt4P4NA?si=nemy3e?ezCBMJb89K,,◎,
メルカリ 古物商 いらない,メルカリ攻略系,古物商の取り方徹底解説,https://youtu.be/jexfEaIYa-Q?si=qg-gHLFJpIDfINi1,https://d27mnpuamwvieu.cloudfront.net/pdf/0HORJwUBqwUvrWa5XXqk1cg9XX.pdf,◎,
メルカリ せどり 禁止,メルカリ攻略系,垢BAN対策,https://youtu.be/Z35jiJqWYbI?si=vq4Z4rkbr-mKGuvU,,◎,
メルカリ 売れない 疲れた,メルカリ攻略系,リユース物販全手法,,,◎,
メルカリ 売れ筋 リサーチ ツール,メルカリ攻略系,せどりリサーチ完全攻略,https://youtu.be/4-_g142&dtaw?si=weUP-w25Zaqrmqe9t,,◎,
せどり やめたほうがいい,せどり全般系,リユース物販全手法,,,◎,
せどり 違法,せどり全般系,古物商の取り方徹底解説,https://youtu.be/jexfEaIYa-Q?si=qg-gHLFJpIDfINi1,https://d27mnpuamwvieu.cloudfront.net/pdf/0HORJwUBqwUvrWa5XXqk1cg9XX.pdf,◎,
せどり ジャンル,せどり全般系,リユース物販全手法,,,◎,
せどり おすすめ 商品,せどり全般系,利益商品100万円分公開,https://youtu.be/blZOK5EypDO?si=_mydWz_rbZNMsypO,,◎,
せどり 資金,せどり全般系,成果を出すのに必要な資金,,,◎,動画撮影予定
せどり 疲れた,せどり全般系,外注化徹底攻略,https://youtu.be/bKAHQ6dZiAI?si=87sH9eqJjBFMZW27,https://drive.google.com/file/d/1LBmxkH5QRyhcfeo3FqNWugAE_RHk1Lym/view,◎,
せどり リサーチ ツール,せどり全般系,せどりリサーチ完全攻略,https://youtu.be/4-_g142&dtaw?si=weUP-w25Zaqrmqe9t,,◎,
せどり 売上管理,せどり全般系,【新規作成推奨】せどり在庫＆収支管理テンプレート,,,新規,管理系特典なし
せどり 損切り,せどり全般系,【新規作成推奨】せどり在庫＆収支管理テンプレート,,,新規,在庫管理系なし
せどり キャッシュフロー,せどり全般系,成果を出すのに必要な資金,,,△,動画撮影予定
せどり 利益率,せどり全般系,売れる価格設定方法,https://youtu.be/j53JXqKOzsJU?si=8cxrrvAvfT7knBJQ,,△,
せどり 外注化,せどり全般系,外注化徹底攻略,https://youtu.be/bKAHQ6dZiAI?si=87sH9eqJjBFMZW27,https://drive.google.com/file/d/1LBmxkH5QRyhcfeo3FqNWugAE_RHk1Lym/view,◎,
電脳 せどり 儲からない,仕入れ先系（電脳）,ネットオークション仕入れ完全攻略,https://www.youtube.com/watch?v=4oO44kxjLLs&t=23s,,◎,
せどり 仕入れ ランキング,せどり全般系,利益商品100万円分公開,https://youtu.be/blZOK5EypDO?si=_mydWz_rbZNMsypO,,◎,
せどり 売れる 商品 リサーチ,せどり全般系,せどりリサーチ完全攻略,https://youtu.be/4-_g142&dtaw?si=weUP-w25Zaqrmqe9t,,◎,
せどり 本業,せどり全般系,0から月利100万円ロードマップ,https://youtu.be/7Wh6nyxEY08?si=9rukeVey24N9mfX0,,◎,
せどり 売れない,せどり全般系,リユース物販全手法,,,◎,
せどり 独立 失敗,せどり全般系,0から月利100万円ロードマップ,https://youtu.be/7Wh6nyxEY08?si=9rukeVey24N9mfX0,,◎,
転売で儲かる商品リスト,せどり全般系,利益商品100万円分公開,https://youtu.be/blZOK5EypDO?si=_mydWz_rbZNMsypO,,◎,
せどり オワコン,せどり全般系,リユース物販全手法,,,◎,
ヤマダ電機 せどり 禁止,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,△,家電特化なし
せどり 失敗,せどり全般系,リユース物販全手法,,,◎,
せどり どこで売る,せどり全般系,販売プラットフォーム3選,https://www.youtube.com/watch?v=rEU-s0cVr4s,,◎,
ラクマ せどり,他プラットフォーム系,販売プラットフォーム3選,https://www.youtube.com/watch?v=rEU-s0cVr4s,,◎,
paypayフリマ 売れない,他プラットフォーム系,販売プラットフォーム3選,https://www.youtube.com/watch?v=rEU-s0cVr4s,,◎,
店舗せどり,仕入れ先系（店舗）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
メルカリ 一瞬で売れるもの,メルカリ攻略系,利益商品100万円分公開,https://youtu.be/blZOK5EypDO?si=_mydWz_rbZNMsypO,,◎,
メルカリ 高く売れるもの,メルカリ攻略系,利益商品100万円分公開,https://youtu.be/blZOK5EypDO?si=_mydWz_rbZNMsypO,,◎,
メルカリで買ったものをメルカリで売る,メルカリ攻略系,垢BAN対策,https://youtu.be/Z35jiJqWYbI?si=vq4Z4rkbr-mKGuvU,,◎,
メルカリ 物販 仕入れ先,メルカリ攻略系,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
メルカリ 売るコツ,メルカリ攻略系,売れる商品説明テンプレート,,https://d27mnpuamwview.cloudfront.net/pdf/0qseoABHxXpo7dmn2ZOXwXX.pdf,◎,
圏外飛ばし メルカリ,メルカリ攻略系,垢BAN対策,https://youtu.be/Z35jiJqWYbI?si=vq4Z4rkbr-mKGuvU,,◎,
メルカリ いいね 売れない,メルカリ攻略系,売れる価格設定方法,https://youtu.be/j53JXqKOzsJU?si=8cxrrvAvfT7knBJQ,,◎,
メルカリ 値下げ交渉 断り方,メルカリ攻略系,価格交渉徹底解説,,,◎,動画撮影予定
メルカリ 値下げ タイミング,メルカリ攻略系,値下げタイミング解説,,,◎,動画撮影予定
メルカリ 振込手数料 裏ワザ,メルカリ攻略系,最安梱包＆送料設定マニュアル,,,◎,
メルカリ 300円 利益,メルカリ攻略系,最安梱包＆送料設定マニュアル,,,◎,
メルカリ 売れた商品 削除,メルカリ攻略系,垢BAN対策,https://youtu.be/Z35jiJqWYbI?si=vq4Z4rkbr-mKGuvU,,◎,
メルカリ 上位表示,メルカリ攻略系,売れる出品設定マニュアル,https://youtu.be/F7uSZt4P4NA?si=nemy3e?ezCBMJb89K,,◎,
メルカリ 時間帯,メルカリ攻略系,売れる出品設定マニュアル,https://youtu.be/F7uSZt4P4NA?si=nemy3e?ezCBMJb89K,,◎,
メルカリ 同じ商品 出品,メルカリ攻略系,垢BAN対策,https://youtu.be/Z35jiJqWYbI?si=vq4Z4rkbr-mKGuvU,,◎,
メルカリ 再出品 ペナルティ,メルカリ攻略系,垢BAN対策,https://youtu.be/Z35jiJqWYbI?si=vq4Z4rkbr-mKGuvU,,◎,
メルカリ 利用制限 原因,メルカリ攻略系,垢BAN対策,https://youtu.be/Z35jiJqWYbI?si=vq4Z4rkbr-mKGuvU,,◎,CVR1.40%
メルカリ 物販 儲からない,メルカリ攻略系,リユース物販全手法,,,◎,
メルカリ 急に売れなくなった,メルカリ攻略系,垢BAN対策,https://youtu.be/Z35jiJqWYbI?si=vq4Z4rkbr-mKGuvU,,◎,
メルカリ 送料 赤字,メルカリ攻略系,最安梱包＆送料設定マニュアル,,,◎,
メルカリせどり 主婦,メルカリ攻略系,メルカリ物販の始め方3ステップ,https://youtu.be/fHY-Etvf1Sg?si=ktDxT_rdSFSKCPNm,,◎,
メルカリ 中国輸入 売れない,メルカリ攻略系,リユース物販全手法,,,△,中国輸入特化なし
メルカリ 100円値下げ,メルカリ攻略系,値下げタイミング解説,,,◎,CVR1.47%/動画撮影予定
バイマ やめた方がいい,他プラットフォーム系,リユース物販全手法,,,△,BUYMA特化なし
せどり やめたほうがいい,せどり全般系,リユース物販全手法,,,◎,
yahooフリマ メルカリ どっちが売れる,他プラットフォーム系,販売プラットフォーム3選,https://www.youtube.com/watch?v=rEU-s0cVr4s,,◎,CVR1.30%
フリマアプリ 初心者 おすすめ,他プラットフォーム系,販売プラットフォーム3選,https://www.youtube.com/watch?v=rEU-s0cVr4s,,◎,
古着 仕入れ 個人,アパレル・古着系,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
古着100円仕入れ,アパレル・古着系,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
高く売れるブランド,ブランド・高額商品系,狙い目ブランド100選,https://youtu.be/wuNKvCtB4bg?si=1MTExQSSAzQI-2Mi,,◎,
ルイヴィトン 高く売れる財布,ブランド・高額商品系,小物せどり完全攻略,https://youtu.be/XKttF85r3C4?si=U8vZz0GufXP9VAGN,,◎,
せどり 始め方,せどり全般系,メルカリ物販の始め方3ステップ,https://youtu.be/fHY-Etvf1Sg?si=ktDxT_rdSFSKCPNm,,◎,
せどり 必要なもの,せどり全般系,メルカリ物販準備物一覧,https://youtu.be/KNHuLE3PxaY?si=1kIN8Fd_iLZj2cf0,https://docs.google.com/document/d/1XAF_CTNR2XmWfq8tLt6Nx0fUwZu1RZ_IluHrIwTdJIo/edit,◎,
せどり 月5万,せどり全般系,2ヶ月で月10万円達成の裏技,https://www.youtube.com/watch?v=DvOysCNIPKc&t=1248s,,◎,
せどり 激安仕入れ,仕入れ先系（電脳）,初心者狙い目仕入れ先30選,https://youtu.be/yqEuk25SEBM?si=uw9kl5yzDMNnTYOo,,◎,
せどり コンサル,せどり全般系,リユース物販全手法,,,◎,
1000円で仕入れて9800円で売る,仕入れ先系（電脳）,利益商品100万円分公開,https://youtu.be/blZOK5EypDO?si=_mydWz_rbZNMsypO,,◎,
電脳せどり 仕入れ先,仕入れ先系（電脳）,ネットオークション仕入れ完全攻略,https://www.youtube.com/watch?v=4oO44kxjLLs&t=23s,,◎,
電脳せどり ツール,仕入れ先系（電脳）,せどりリサーチ完全攻略,https://youtu.be/4-_g142&dtaw?si=weUP-w25Zaqrmqe9t,,◎,
物販ビジネス 成功率,副業・収益系,0から月利100万円ロードマップ,https://youtu.be/7Wh6nyxEY08?si=9rukeVey24N9mfX0,,◎,
物販 起業,副業・収益系,0から月利100万円ロードマップ,https://youtu.be/7Wh6nyxEY08?si=9rukeVey24N9mfX0,,◎,
ヤフオク 売れない,ヤフオク系,販売プラットフォーム3選,https://www.youtube.com/watch?v=rEU-s0cVr4s,,△,ヤフオク出品特化なし
ヤフオク 出品方法 初心者,ヤフオク系,【新規作成推奨】ヤフオク出品完全ガイド,,,新規,ヤフオク出品特化なし
副業 時間がない,副業・収益系,成果を出すのに必要な時間,,,◎,動画撮影予定
amazon せどり 儲からない,他プラットフォーム系,リユース物販全手法,,,△,Amazon特化なし
楽天 せどり 儲からない,他プラットフォーム系,リユース物販全手法,,,△,楽天特化なし
輸入ビジネス 儲からない,他プラットフォーム系,リユース物販全手法,,,△,輸入特化なし
amazon fba 儲からない,他プラットフォーム系,リユース物販全手法,,,△,Amazon特化なし
バイマ副業 失敗,他プラットフォーム系,リユース物販全手法,,,△,BUYMA特化なし
物販 副業,副業・収益系,リユース物販全手法,,,◎,
物販 投資,副業・収益系,成果を出すのに必要な資金,,,◎,動画撮影予定
せどり 初心者,せどり全般系,メルカリ物販の始め方3ステップ,https://youtu.be/fHY-Etvf1Sg?si=ktDxT_rdSFSKCPNm,,◎,
地味に儲かる副業,副業・収益系,2ヶ月で月10万円達成の裏技,https://www.youtube.com/watch?v=DvOysCNIPKc&t=1248s,,◎,
月3万 副業,副業・収益系,2ヶ月で月10万円達成の裏技,https://www.youtube.com/watch?v=DvOysCNIPKc&t=1248s,,◎,
副業 月5万,副業・収益系,2ヶ月で月10万円達成の裏技,https://www.youtube.com/watch?v=DvOysCNIPKc&t=1248s,,◎,
副業 月10万,副業・収益系,2ヶ月で月10万円達成の裏技,https://www.youtube.com/watch?v=DvOysCNIPKc&t=1248s,,◎,
転売 副業,副業・収益系,リユース物販全手法,,,◎,
物販スクール,副業・収益系,リユース物販全手法,,,◎,
amazon せどり 始め方,他プラットフォーム系,【新規作成推奨】Amazon物販スタートガイド,,,新規,Amazon特化なし
ebay 転売 儲からない,他プラットフォーム系,リユース物販全手法,,,△,eBay特化なし
物販副業 怪しい,副業・収益系,リユース物販全手法,,,◎,
keepa 使い方,他プラットフォーム系,【新規作成推奨】Amazon物販スタートガイド,,,新規,Amazon特化なし
メルカリ トラブル事例,メルカリ攻略系,垢BAN対策,https://youtu.be/Z35jiJqWYbI?si=vq4Z4rkbr-mKGuvU,,◎,
